Date,Country,Engaged sessions,WC (web conversions),WQC (web qualified conversions)
20171124,United States,2357,482,23
20171126,United States,1838,469,16
20171119,United States,1764,493,10
20171125,United States,1738,465,11
20171123,United States,1659,454,22
20171127,United States,1650,417,14
20171120,United States,1637,472,17
20171203,United States,1570,453,15
20171121,United States,1569,461,25
20171214,Brazil,1531,77,22
20171122,United States,1516,257,8
20171118,United States,1503,405,6
20171128,United States,1448,379,5
20171129,United States,1426,338,12
20171213,Brazil,1409,65,16
20171204,United States,1402,353,12
20171209,United States,1392,395,15
20171210,United States,1386,416,10
20171116,United States,1378,368,7
20171205,United States,1375,360,8
20171117,United States,1365,380,15
20171215,Brazil,1363,48,19
20171130,United States,1326,368,12
20171202,United States,1323,385,9
20171206,United States,1312,375,15
20171211,United States,1311,383,10
20171212,United States,1284,385,11
20171201,United States,1268,302,9
20171129,Brazil,1266,71,13
20171213,United States,1234,304,11
20171214,United States,1217,349,11
20171210,Australia,1180,155,17
20171215,United States,1165,304,7
20171130,Brazil,1157,86,45
20171212,Brazil,1156,88,32
20171207,United States,1148,302,11
20171208,United States,1135,347,14
20171205,Australia,1118,123,17
20171211,Brazil,1115,70,10
20171209,Australia,977,112,16
20171211,Australia,971,145,18
20171128,Brazil,961,68,24
20171201,Brazil,960,89,45
20171125,Australia,945,126,15
20171126,Australia,937,126,11
20171206,Australia,918,111,11
20171120,Australia,916,103,15
20171119,Australia,900,117,16
20171124,Australia,879,150,14
20171128,Australia,877,124,14
20171212,Australia,870,127,13
20171127,Australia,869,122,13
20171208,Australia,852,112,6
20171213,Australia,852,120,9
20171203,Australia,848,121,14
20171204,Brazil,836,74,17
20171210,Brazil,835,46,24
20171116,Brazil,832,49,8
20171121,Australia,827,143,23
20171120,Brazil,826,63,14
20171129,Australia,815,135,18
20171118,Australia,797,89,15
20171214,Australia,795,123,11
20171205,Brazil,773,61,14
20171215,Australia,768,152,12
20171117,Brazil,764,62,13
20171119,Brazil,764,44,15
20171207,Australia,759,92,12
20171121,Brazil,748,70,15
20171204,Australia,746,110,13
20171118,Brazil,741,48,12
20171202,Australia,734,120,11
20171209,Brazil,724,31,13
20171203,Brazil,711,33,12
20171123,Australia,707,115,13
20171116,Australia,705,68,14
20171127,Brazil,697,55,13
20171201,Australia,691,102,14
20171122,Australia,688,90,10
20171117,Australia,682,80,13
20171130,Australia,657,114,22
20171206,Brazil,644,57,17
20171202,Brazil,622,43,15
20171208,Brazil,605,44,11
20171123,Brazil,595,54,13
20171207,Brazil,595,46,7
20171122,Brazil,594,42,5
20171126,Brazil,576,33,9
20171119,Canada,521,117,5
20171125,Brazil,514,39,10
20171123,Canada,499,136,4
20171127,Canada,487,115,1
20171201,Canada,485,87,1
20171120,Canada,480,103,3
20171124,Brazil,479,44,6
20171130,Canada,476,100,2
20171210,Canada,467,162,4
20171126,Canada,466,108,2
20171118,Canada,465,105,0
20171124,Canada,462,108,9
20171129,Canada,446,96,5
20171122,Canada,445,85,3
20171203,Canada,444,127,3
20171128,Canada,439,103,1
20171117,Canada,436,60,3
20171121,Canada,431,70,2
20171116,Canada,426,73,7
20171213,Canada,422,131,0
20171125,Canada,418,109,1
20171205,Canada,417,104,2
20171204,Canada,407,120,3
20171212,Canada,393,106,2
20171211,Canada,380,101,1
20171202,Canada,378,95,1
20171206,Canada,375,106,2
20171215,Canada,369,76,1
20171207,Canada,366,94,3
20171209,Canada,355,96,3
20171208,Canada,346,90,1
20171214,Canada,337,92,3
20171211,New Zealand,233,30,2
20171212,New Zealand,230,27,3
20171213,New Zealand,227,20,2
20171205,New Zealand,223,20,1
20171215,Argentina,223,7,5
20171120,Argentina,215,5,2
20171127,Argentina,215,12,5
20171210,New Zealand,211,22,2
20171206,New Zealand,199,18,1
20171117,Mexico,197,21,14
20171211,Mexico,197,11,1
20171215,New Zealand,192,21,2
20171121,Mexico,188,18,6
20171121,Argentina,186,6,2
20171122,Mexico,183,18,4
20171214,New Zealand,180,18,1
20171124,Mexico,173,10,0
20171209,New Zealand,172,25,1
20171205,Mexico,169,12,3
20171122,Argentina,168,3,2
20171120,Mexico,167,31,6
20171126,France,167,9,2
20171206,Mexico,166,14,3
20171204,Mexico,164,12,4
20171214,Mexico,164,15,4
20171203,New Zealand,163,27,6
20171128,Argentina,159,8,7
20171210,Mexico,159,9,1
20171202,New Zealand,158,21,2
20171204,New Zealand,156,23,3
20171210,France,153,25,4
20171212,Mexico,153,14,2
20171126,New Zealand,152,23,2
20171208,New Zealand,152,16,3
20171119,Argentina,150,6,1
20171126,Argentina,150,3,2
20171116,Argentina,147,4,2
20171208,Mexico,147,13,0
20171119,Mexico,146,20,8
20171207,New Zealand,143,20,5
20171209,Mexico,142,16,6
20171116,Mexico,141,21,7
20171128,New Zealand,141,21,2
20171207,Mexico,141,16,0
20171118,Argentina,136,4,2
20171129,Argentina,136,10,7
20171127,New Zealand,132,10,0
20171212,Argentina,132,5,3
20171117,Argentina,131,3,1
20171211,Argentina,130,7,1
20171215,Mexico,130,8,3
20171123,Mexico,129,7,1
20171213,Mexico,129,11,0
20171118,Mexico,128,19,7
20171129,New Zealand,126,13,1
20171201,New Zealand,125,18,2
20171203,Mexico,125,4,0
20171118,New Zealand,124,22,0
20171202,France,124,12,3
20171210,Argentina,124,6,4
20171124,Argentina,123,3,2
20171125,Argentina,122,4,2
20171203,France,122,15,1
20171202,Mexico,121,7,2
20171130,New Zealand,120,12,0
20171125,New Zealand,119,16,0
20171128,Mexico,118,14,2
20171211,Chile,117,6,2
20171127,France,113,13,1
20171127,Mexico,113,7,0
20171212,France,112,12,3
20171214,France,109,16,3
20171119,France,108,9,0
20171117,New Zealand,107,6,1
20171121,United Kingdom,106,24,2
20171126,Mexico,105,9,1
20171130,France,105,10,0
20171207,France,105,7,2
20171130,Argentina,104,1,0
20171129,France,103,16,0
20171209,France,103,14,1
20171119,United Kingdom,102,19,3
20171124,New Zealand,102,7,0
20171123,Argentina,101,2,1
20171129,Mexico,101,7,2
20171208,France,101,12,1
20171121,New Zealand,100,23,2
20171120,France,99,12,2
20171122,New Zealand,99,13,1
20171126,Germany,97,17,1
20171210,Chile,97,5,4
20171213,Argentina,96,6,2
20171118,France,95,7,1
20171120,Japan,95,12,1
20171129,Japan,95,5,0
20171130,Mexico,95,7,0
20171201,Mexico,95,5,0
20171125,Mexico,94,9,0
20171201,France,94,10,3
20171211,France,94,16,0
20171214,Argentina,94,6,4
20171123,France,93,6,2
20171116,Germany,92,15,3
20171116,New Zealand,92,16,0
20171117,France,92,7,2
20171119,New Zealand,92,18,2
20171120,New Zealand,92,15,0
20171203,Argentina,92,6,1
20171204,China,91,0,0
20171215,France,91,12,0
20171206,France,90,15,3
20171126,United Kingdom,88,14,2
20171209,Chile,88,4,3
20171116,France,87,9,1
20171128,France,87,19,0
20171208,Argentina,87,6,2
20171122,France,86,15,2
20171204,United Kingdom,86,12,0
20171209,Argentina,86,2,2
20171116,United Kingdom,85,11,2
20171120,United Kingdom,85,14,1
20171123,New Zealand,85,7,0
20171204,France,85,13,2
20171214,Japan,85,4,2
20171215,Japan,85,5,1
20171116,Chile,84,4,0
20171120,Chile,84,4,1
20171130,Japan,84,4,0
20171118,Chile,83,2,1
20171212,Chile,83,1,0
20171119,Germany,82,5,0
20171118,United Kingdom,81,9,0
20171126,Spain,81,10,3
20171205,France,80,6,0
20171123,United Kingdom,79,10,0
20171128,United Kingdom,79,13,1
20171203,Sweden,79,9,2
20171118,Spain,78,15,8
20171124,France,78,7,1
20171117,Spain,77,11,2
20171121,Spain,77,8,1
20171125,United Kingdom,77,11,3
